Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Andorra,Europe,77267,855,,52,,800,,3,,11066,673,3750,48533,Europe
Jamaica,North America,2961315,728,7,10,,569,4,149,,246,3,26002,8781,Americas
Montenegro,Europe,628067,720,,14,1,315,,391,,1146,22,13820,22004,Europe
Sao Tome and Principe,Africa,219176,719,,13,,267,,439,,3280,59,1833,8363,Africa
Diamond Princess,,,712,,13,,651,,48,4,,,,,
San Marino,Europe,33932,698,,42,,656,,0,,20571,1238,5729,168838,Europe
Zimbabwe,Africa,14864287,698,,8,,181,,509,,47,0.5,78465,5279,Africa
Togo,Africa,8279041,676,,15,,432,,229,2,82,2,32758,3957,Africa
Malta,Europe,441557,672,,9,,652,1,11,,1522,20,99126,224492,Europe
Channel Islands,Europe,173877,571,,47,,512,,12,,3284,270,21388,123006,
Suriname,South America,586680,565,,14,,276,,275,6,963,24,1244,2120,Americas
Réunion,Africa,895376,536,,2,,472,,62,3,599,2,35419,39558,
Tanzania,Africa,59732362,509,,21,,183,,305,7,9,0.4,,,Africa
Taiwan,Asia,23817324,449,,7,,438,,4,,19,0.3,77157,3240,WesternPacific
Namibia,Africa,2541110,375,,,,25,,350,1,148,,10682,4204,Africa
Syria,Asia,17501158,358,20,13,3,126,3,219,,20,0.7,,,EasternMediterranean
Vietnam,Asia,97346584,355,,,,340,,15,1,4,,275000,2825,WesternPacific
Angola,Africa,32863687,346,,19,,108,,219,6,11,0.6,10000,304,Africa
Mauritius,Africa,1271795,341,,10,,330,,1,,268,8,186845,146914,Africa
Isle of Man,Europe,85038,336,,24,,312,,0,,3951,282,6600,77612,
Myanmar,Asia,54413555,313,,6,,240,,67,,6,0.1,81977,1507,South-EastAsia
Comoros,Africa,869652,309,,7,,241,,61,,355,8,,,Africa
Botswana,Africa,2351786,277,,1,,29,,247,1,118,0.4,45440,19321,Africa
Guyana,South America,786595,272,,14,,120,,138,3,346,18,2779,3533,Americas
Martinique,North America,375261,249,,14,,98,,137,5,664,37,,,
Mongolia,Asia,3278580,220,,,,185,2,35,2,67,,24046,7334,WesternPacific
Eritrea,Africa,3546748,215,,,,56,,159,,61,,,,Africa
Cayman Islands,North America,65728,201,,1,,194,,6,,3058,15,24637,374833,
Burundi,Africa,11890146,191,,1,,118,,72,,16,0.08,749,63,Africa
Faeroe Islands,Europe,48865,187,,,,187,,0,,3827,,15899,325366,
Guadeloupe,North America,400125,184,,14,,157,,13,4,460,35,9649,24115,
Gibraltar,Europe,33691,178,,,,176,,2,,5283,,14491,430115,
Bermuda,North America,62274,146,,9,,137,,0,1,2344,145,12046,193435,Americas
Brunei ,Asia,437516,141,,3,,138,,0,,322,7,29841,68206,
Cambodia,Asia,16720508,141,,,,131,,10,1,8,,38335,2293,WesternPacific
Trinidad and Tobago,North America,1399542,130,,8,,115,,7,,93,6,5533,3953,Americas
Monaco,Europe,39245,106,,4,,95,,7,,2701,102,16200,412791,Europe
Aruba,North America,106771,105,,3,,98,,4,,983,28,2575,24117,
Bahamas,North America,393277,104,,11,,89,,4,1,264,28,2441,6207,Americas
Barbados,North America,287380,97,,7,,90,,0,,338,24,8120,28255,Americas
Liechtenstein,Europe,38129,83,,1,,81,,1,,2177,26,900,23604,Europe
Seychelles,Africa,98353,81,,,,11,,70,,824,,,,Africa
Sint Maarten,North America,42880,78,,15,,63,,0,,1819,350,500,11660,
Bhutan,Asia,771677,78,,,,51,,27,,101,,25579,33147,South-EastAsia
Antigua and Barbuda,North America,97937,68,,3,,23,,42,1,694,31,796,8128,Americas
Lesotho,Africa,2142413,63,28,,,11,,52,,29,,3000,1400,Africa
French Polynesia,Australia/Oceania,280925,62,,,,60,,2,,221,,4649,16549,
Gambia,Africa,2416608,57,,2,,27,,28,,24,0.8,3162,1308,Africa
Turks and Caicos,North America,38721,47,2,2,,11,,34,,1214,52,775,20015,
Macao,Asia,649395,46,,,,45,,1,,71,,4071,6269,
Saint Martin,North America,38669,43,,3,,37,,3,1,1112,78,851,22007,
Belize,North America,397660,30,,2,,19,,9,,75,5,2358,5930,Americas
St. Vincent Grenadines,North America,110944,29,,,,29,,0,,261,,844,7607,
Timor-Leste,Asia,1318544,24,,,,24,,0,,18,,1568,1189,South-EastAsia
Curaçao,North America,164101,23,,1,,19,,3,,140,6,1080,6581,
Grenada,North America,112529,23,,,,23,,0,,204,,5465,48565,Americas
Saint Lucia,North America,183637,22,,,,19,,3,,120,,1815,9884,Americas
New Caledonia,Australia/Oceania,285522,21,,,,21,,0,,74,,8610,30155,
Laos,Asia,7276227,19,,,,19,,0,,3,,17089,2349,WesternPacific
Dominica,North America,71988,18,,,,18,,0,,250,,623,8654,Americas
Fiji,Australia/Oceania,896510,18,,,,18,,0,,20,,4000,4462,WesternPacific
Saint Kitts and Nevis,North America,53203,16,,,,15,,1,,301,,483,9078,Americas
Falkland Islands,South America,3480,13,,,,13,,0,,3736,,1197,343966,
Greenland,North America,56771,13,,,,13,,0,,229,,3954,69648,Europe
Vatican City,Europe,801,12,,,,12,,0,,14981,,,,Europe
Montserrat,North America,4992,11,,1,,10,,0,,2204,200,61,12220,
Papua New Guinea,Australia/Oceania,8947704,11,,,,8,,3,,1,,7147,799,WesternPacific
Western Sahara,Africa,597354,10,,1,,8,,1,,17,2,,,Africa
MS Zaandam,,,9,,2,,,,7,,,,,,
